"text","intent","response","entities"
"hi","greet","👋 Hello! How can I help you today?",""
"hello","greet","👋 Hi there! Ask me about your balance, transactions, or loans.",""
"hey","greet","👋 Hey! What can I do for you?",""
"good morning","greet","Good morning! How can I assist?",""
"good afternoon","greet","Good afternoon! How may I help you?",""
"good evening","greet","Good evening! What can I do for you?",""
"hi there","greet","👋 Hello! Welcome to the bank. How can I assist?",""
"hello there","greet","👋 Hi! How can I help you with your banking needs?",""
"howdy","greet","👋 Howdy! What brings you here today?",""
"greetings","greet","👋 Greetings! How may I assist you?",""
"what's up","greet","👋 Hey there! What can I help you with?",""
"yo","greet","👋 Hi! How can I help?",""
"bye","goodbye","👋 Goodbye! Have a great day.",""
"goodbye","goodbye","👋 See you next time.",""
"see you later","goodbye","👋 See you later! Take care.",""
"catch you later","goodbye","👋 Catch you later!",""
"take care","goodbye","👋 You too! Goodbye.",""
"have a nice day","goodbye","👋 You as well! Goodbye.",""
"see you","goodbye","👋 See you soon!",""
"later","goodbye","👋 See you later!",""
"gotta go","goodbye","👋 Alright, take care!",""
"i'm leaving","goodbye","👋 Goodbye! Have a great day.",""
"what is my balance","check_balance","💰 I can help with that. First, please provide your account number for verification.",""
"check balance","check_balance","💰 Of course. What is your account number?",""
"show my account balance","check_balance","💰 I'd be happy to check your balance. What is your account number?",""
"can you tell me my balance","check_balance","💰 I can certainly help with that. What is your account number?",""
"account balance","check_balance","💰 I can help with your account balance. Please provide your account number.",""
"check my balance","check_balance","💰 Sure! What's your account number so I can verify?",""
"show me my balance","check_balance","💰 I'd be happy to check your balance. Could you provide your account number?",""
"i want to check my balance","check_balance","💰 I can help with that. First, please provide your account number for verification.",""
"tell me my balance","check_balance","💰 Sure! May I have your account number to verify?",""
"balance inquiry","check_balance","💰 To check your balance, please provide your account number.",""
"how much money do i have","check_balance","💰 I can help with that. Please give me your account number.",""
"what's my account balance","check_balance","💰 I can check that for you. What's your account number?",""
"how much is in my account","check_balance","💰 Let me check that. Please provide your account number.",""
"show balance","check_balance","💰 I can show your balance. What is your account number?",""
"display my balance","check_balance","💰 Sure! Please share your account number for verification.",""
"balance please","check_balance","💰 Of course! What's your account number?",""
"need my balance","check_balance","💰 I can help with that. Please provide your account number.",""
"get my balance","check_balance","💰 Sure thing! What is your account number?",""
"what is my current balance","check_balance","💰 I can check your current balance. Account number please?",""
"how much money is left","check_balance","💰 Let me check that for you. What's your account number?",""
"my account number is 96182240","check_balance","💰 Thank you! Checking balance for account 96182240...","ACCOUNT_NUMBER:96182240"
"it's 96182240","check_balance","💰 Got it! Let me check account 96182240...","ACCOUNT_NUMBER:96182240"
"account number 96182240","check_balance","💰 Checking balance for account 96182240...","ACCOUNT_NUMBER:96182240"
"96182240","check_balance","💰 Retrieving balance for account 96182240...","ACCOUNT_NUMBER:96182240"
"my account is 12345678","check_balance","💰 Checking account 12345678...","ACCOUNT_NUMBER:12345678"
"the account number is 87654321","check_balance","💰 Retrieving information for account 87654321...","ACCOUNT_NUMBER:87654321"
"account 55667788","check_balance","💰 Checking balance for account 55667788...","ACCOUNT_NUMBER:55667788"
"it is 11223344","check_balance","💰 Got it! Checking account 11223344...","ACCOUNT_NUMBER:11223344"
"last transactions","transaction_inquiry","For a detailed statement, please click the 'Transactions' card on your dashboard.",""
"show transaction history","transaction_inquiry","You can see your full transaction history on the 'Transactions' page.",""
"recent transactions","transaction_inquiry","You can view your recent transactions on the 'Transactions' page.",""
"show my transactions","transaction_inquiry","Please visit the 'Transactions' section to view your transaction history.",""
"transaction details","transaction_inquiry","All transaction details are available on the 'Transactions' page.",""
"show statement","transaction_inquiry","Your account statement is available in the 'Transactions' section.",""
"account statement","transaction_inquiry","You can download your account statement from the 'Transactions' page.",""
"past transactions","transaction_inquiry","View all past transactions on the 'Transactions' page.",""
"loan","loan_inquiry","🏦 We offer Personal and Home Loans. You can explore options on the 'Loans' page.",""
"loan details","loan_inquiry","🏦 You can compare loan types and interest rates in the 'Loan' section.",""
"loan options","loan_inquiry","🏦 We provide multiple loan types. Check the 'Loans' page for details.",""
"personal loan","loan_inquiry","🏦 Our Personal Loan has flexible repayment options. Learn more on the 'Loans' page.",""
"home loan","loan_inquiry","🏦 Our Home Loan offers competitive interest rates. Visit the 'Loans' page.",""
"loan interest rate","loan_inquiry","🏦 You can check interest rates for all loans on the 'Loans' page.",""
"car loan","loan_inquiry","🏦 We offer competitive car loan rates. Check the 'Loans' page for details.",""
"education loan","loan_inquiry","🏦 Our education loans have flexible terms. Visit the 'Loans' page to learn more.",""
"what loans do you offer","loan_inquiry","🏦 We offer Personal, Home, Car, and Education loans. Visit the 'Loans' page.",""
"i need a loan","loan_inquiry","🏦 I can help with that. Check our loan options on the 'Loans' page.",""
"apply for loan","loan_inquiry","🏦 You can apply for loans through the 'Loans' section on your dashboard.",""
"loan eligibility","loan_inquiry","🏦 Check your loan eligibility on the 'Loans' page.",""
"loan application","loan_inquiry","🏦 You can submit a loan application through the 'Loans' section.",""
"loan EMI calculator","loan_inquiry","🏦 Use our EMI calculator on the 'Loans' page to estimate your payments.",""
